Ref,Val,Package,PosX,PosY,Rot,Side
L3,10uH,L_0603_1608Metric,184.214214,-133.514214,135,top
L4,4.7nH,L_0402_1005Metric,229.265,-140.065,45,top
L5,4.7nH,L_0402_1005Metric,198.457161,-138.957161,135,top
L6,10uH,L_0603_1608Metric,241.695,-135.805,-45,top
L7,10uH,L_0603_1608Metric,234.465,-125.515,135,top
L8,15nH,L_0402_1005Metric,242.965,-137.365,-135,top
Q1,BSS84,SOT-23,185.414214,-109.214214,0,top
Q2,BSS138,SOT-23,193.014214,-114.214214,135,top
Q5,BSS84,SOT-23,241.255,-109.065,180,top
Q6,BSS138,SOT-23,233.911551,-113.871551,135,top
R1,100k,R_0603_1608Metric,187.614214,-111.414214,45,top
R2,5k1,R_0402_1005Metric,203.414214,-105.814214,0,top
R3,5k1,R_0402_1005Metric,199.214214,-105.814214,0,top
R4,10k,R_0402_1005Metric,182.809214,-110.659214,-90,top
R5,3k2,R_0402_1005Metric,194.814214,-107.614214,-135,top
R6,10k,R_0402_1005Metric,182.799214,-112.759214,-90,top
R7,5k9,R_0402_1005Metric,192.614214,-105.414214,135,top
R8,10k,R_0402_1005Metric,204.514214,-119.764214,0,top
R9,10k,R_0402_1005Metric,204.014214,-118.514214,0,top
R10,2k2,R_0402_1005Metric,204.964214,-124.864214,-135,top
R11,2k2,R_0402_1005Metric,204.708579,-126.908579,45,top
R21,2k2,R_0402_1005Metric,223.255,-126.065,45,top
R22,2k2,R_0402_1005Metric,220.655,-119.615,-90,top
R23,100k,R_0603_1608Metric,240.955,-111.665,0,top
R24,5k1,R_0402_1005Metric,226.865,-105.865,0,top
R25,5k1,R_0402_1005Metric,222.665,-105.865,0,top
R26,10k,R_0402_1005Metric,243.955,-108.565,-90,top
R27,3k2,R_0402_1005Metric,234.465,-110.665,135,top
R28,10k,R_0402_1005Metric,246.305,-108.565,90,top
R29,5k9,R_0402_1005Metric,237.865,-109.265,45,top
R30,10k,R_0402_1005Metric,230.805,-109.215,-135,top
R31,10k,R_0402_1005Metric,231.655,-110.015,-135,top
SW1,RESET,SW_Push_SPST_NO_Alps_SKRK,139.414214,-160.514214,0,top
SW2,SW_Push,keyswitch_choc12_hotswap_1u,172.014214,-108.014214,0,top
SW3,SW_Push,keyswitch_choc12_hotswap_1u,152.964214,-108.014214,0,top
SW4,SW_Push,keyswitch_choc12_hotswap_1u,133.914214,-104.964214,0,top
SW5,SW_Push,keyswitch_choc12_hotswap_1u,114.864214,-105.464214,0,top
SW6,SW_Push,keyswitch_choc12_hotswap_1u,95.814214,-108.214214,0,top
SW7,SW_Push,keyswitch_choc12_hotswap_1u,76.764214,-108.214214,0,top
SW8,SW_Push,keyswitch_choc12_hotswap_1u,172.014214,-127.064214,0,top
SW9,SW_Push,keyswitch_choc12_hotswap_1u,152.964214,-127.064214,0,top
SW10,SW_Push,keyswitch_choc12_hotswap_1u,133.914214,-123.994214,0,top
SW11,SW_Push,keyswitch_choc12_hotswap_1u,114.864214,-124.514214,0,top
SW12,SW_Push,keyswitch_choc12_hotswap_1u,95.814214,-127.264214,0,top
SW13,SW_Push,keyswitch_choc12_hotswap_1u,76.764214,-127.264214,0,top
SW14,SW_Push,keyswitch_choc12_hotswap_1u,172.014214,-146.114214,0,top
SW15,SW_Push,keyswitch_choc12_hotswap_1u,152.964214,-146.114214,0,top
SW16,SW_Push,keyswitch_choc12_hotswap_1u,133.914214,-143.064214,0,top
SW17,SW_Push,keyswitch_choc12_hotswap_1u,114.864214,-143.564214,0,top
SW18,SW_Push,keyswitch_choc12_hotswap_1u,95.814214,-146.314214,0,top
SW19,SW_Push,keyswitch_choc12_hotswap_1u,76.764214,-146.314214,0,top
SW20,SW_Push,keyswitch_choc12_hotswap_1u,195.790913,-177.327822,-25,top
SW21,SW_Push,keyswitch_choc12_hotswap_1u,175.275606,-169.577822,-15,top
SW22,SW_Push,keyswitch_choc12_hotswap_1u,153.014214,-167.014214,0,top
SW23,EC11 Encoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,186.939214,-152.589214,0,top
SW24,ON/OFF,SW_SPDT_CK_JS102011SAQN,207.814214,-113.414214,90,top
SW46,RESET,SW_Push_SPST_NO_Alps_SKRK,225.555,-127.415,-135,top
SW47,ON/OFF,SW_SPDT_CK_JS102011SAQN,218.66413,-113.415,-90,top
SW48,EC11 Encoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,224.539916,-152.589214,0,top
SW49,SW_Push,keyswitch_choc12_hotswap_1u,254.45413,-108.025,0,top
SW50,SW_Push,keyswitch_choc12_hotswap_1u,273.50413,-108.025,0,top
SW51,SW_Push,keyswitch_choc12_hotswap_1u,292.56413,-104.965,0,top
SW52,SW_Push,keyswitch_choc12_hotswap_1u,311.61413,-105.465,0,top
SW53,SW_Push,keyswitch_choc12_hotswap_1u,330.66413,-108.215,0,top
SW54,SW_Push,keyswitch_choc12_hotswap_1u,349.71413,-108.215,0,top
SW55,SW_Push,keyswitch_choc12_hotswap_1u,254.46413,-127.065,0,top
SW56,SW_Push,keyswitch_choc12_hotswap_1u,273.51413,-127.065,0,top
SW57,SW_Push,keyswitch_choc12_hotswap_1u,292.56413,-124.015,0,top
SW58,SW_Push,keyswitch_choc12_hotswap_1u,311.61413,-124.515,0,top
SW59,SW_Push,keyswitch_choc12_hotswap_1u,330.66413,-127.265,0,top
SW60,SW_Push,keyswitch_choc12_hotswap_1u,349.71413,-127.265,0,top
SW61,SW_Push,keyswitch_choc12_hotswap_1u,254.46413,-146.115,0,top
SW62,SW_Push,keyswitch_choc12_hotswap_1u,273.51413,-146.115,0,top
SW63,SW_Push,keyswitch_choc12_hotswap_1u,292.56413,-143.065,0,top
SW64,SW_Push,keyswitch_choc12_hotswap_1u,311.61413,-143.565,0,top
SW65,SW_Push,keyswitch_choc12_hotswap_1u,330.66413,-146.315,0,top
SW66,SW_Push,keyswitch_choc12_hotswap_1u,349.71413,-146.315,0,top
SW67,SW_Push,keyswitch_choc12_hotswap_1u,230.66413,-177.315,25,top
SW68,SW_Push,keyswitch_choc12_hotswap_1u,251.21413,-169.588505,15,top
SW69,SW_Push,keyswitch_choc12_hotswap_1u,273.46413,-167.015,0,top
TH1,10k,R_0402_1005Metric,162.014214,-116.614214,-90,top
TH3,10k,R_0402_1005Metric,264.46413,-116.615,-90,top
U1,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,193.214214,-134.914214,-45,top
U2,BQ24073RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,191.014214,-107.648529,-45,top
U3,USBLC6-2SC6,SOT-23-6,201.46285,-108.614214,-90,top
U4,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,201.608579,-122.208579,135,top
U4,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,224.655,-120.765,0,top
U7,nRF52840,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,233.256771,-134.915,-135,top
U9,BQ24073RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,235.407893,-107.704169,-135,top
U10,USBLC6-2SC6,SOT-23-6,225.00163,-108.865,-90,top
Y1,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,201.414214,-134.214214,135,top
Y2,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,191.139214,-128.809214,-135,top
Y3,32MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,234.615,-142.415,45,top
Y4,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,239.415,-133.065,135,top
